"cod_cliente","cod_agencia","saldo_total","nome","cidade","tipo_agencia"
53,1,2984.7615,Agência Matriz,São Paulo,Física
53,1,2984.7615,Agência Matriz,São Paulo,Física
190,1,4262.432,Agência Matriz,São Paulo,Física
190,1,4262.432,Agência Matriz,São Paulo,Física
191,1,3266.568,Agência Matriz,São Paulo,Física
191,1,3266.568,Agência Matriz,São Paulo,Física
203,1,21241.543,Agência Matriz,São Paulo,Física
203,1,21241.543,Agência Matriz,São Paulo,Física
254,1,13335.696,Agência Matriz,São Paulo,Física
254,1,13335.696,Agência Matriz,São Paulo,Física
306,1,22997.475,Agência Matriz,São Paulo,Física
306,1,22997.475,Agência Matriz,São Paulo,Física
472,1,4178.424,Agência Matriz,São Paulo,Física
472,1,4178.424,Agência Matriz,São Paulo,Física
520,1,1809.8087,Agência Matriz,São Paulo,Física
520,1,1809.8087,Agência Matriz,São Paulo,Física
739,1,45.7691,Agência Matriz,São Paulo,Física
739,1,45.7691,Agência Matriz,São Paulo,Física
509,1,19159.795,Agência Matriz,São Paulo,Física
509,1,19159.795,Agência Matriz,São Paulo,Física
688,1,61105.562,Agência Matriz,São Paulo,Física
688,1,61105.562,Agência Matriz,São Paulo,Física
775,1,39008.684,Agência Matriz,São Paulo,Física
775,1,39008.684,Agência Matriz,São Paulo,Física
920,1,2023.578,Agência Matriz,São Paulo,Física
920,1,2023.578,Agência Matriz,São Paulo,Física
954,1,35545.03,Agência Matriz,São Paulo,Física
954,1,35545.03,Agência Matriz,São Paulo,Física
955,1,79502.07,Agência Matriz,São Paulo,Física
955,1,79502.07,Agência Matriz,São Paulo,Física
170,1,926.7056,Agência Matriz,São Paulo,Física
170,1,926.7056,Agência Matriz,São Paulo,Física
218,1,180027.69,Agência Matriz,São Paulo,Física
218,1,180027.69,Agência Matriz,São Paulo,Física
555,1,52691.543,Agência Matriz,São Paulo,Física
555,1,52691.543,Agência Matriz,São Paulo,Física
741,1,91849.875,Agência Matriz,São Paulo,Física
741,1,91849.875,Agência Matriz,São Paulo,Física
751,1,59.7503,Agência Matriz,São Paulo,Física
751,1,59.7503,Agência Matriz,São Paulo,Física
953,1,1866.7325,Agência Matriz,São Paulo,Física
953,1,1866.7325,Agência Matriz,São Paulo,Física
108,1,1171.4528,Agência Matriz,São Paulo,Física
108,1,1171.4528,Agência Matriz,São Paulo,Física
110,1,11059.762,Agência Matriz,São Paulo,Física
110,1,11059.762,Agência Matriz,São Paulo,Física
242,1,165102.06,Agência Matriz,São Paulo,Física
242,1,165102.06,Agência Matriz,São Paulo,Física
528,1,7243.592,Agência Matriz,São Paulo,Física
528,1,7243.592,Agência Matriz,São Paulo,Física
844,1,20803.94,Agência Matriz,São Paulo,Física
844,1,20803.94,Agência Matriz,São Paulo,Física
888,1,91067.68,Agência Matriz,São Paulo,Física
888,1,91067.68,Agência Matriz,São Paulo,Física
171,1,68520.06,Agência Matriz,São Paulo,Física
171,1,68520.06,Agência Matriz,São Paulo,Física
291,1,40641.125,Agência Matriz,São Paulo,Física
291,1,40641.125,Agência Matriz,São Paulo,Física
481,1,86.2785,Agência Matriz,São Paulo,Física
481,1,86.2785,Agência Matriz,São Paulo,Física
564,1,20584.693,Agência Matriz,São Paulo,Física
564,1,20584.693,Agência Matriz,São Paulo,Física
584,1,1658.1686,Agência Matriz,São Paulo,Física
584,1,1658.1686,Agência Matriz,São Paulo,Física
635,1,1534.5565,Agência Matriz,São Paulo,Física
635,1,1534.5565,Agência Matriz,São Paulo,Física
116,1,20992.184,Agência Matriz,São Paulo,Física
116,1,20992.184,Agência Matriz,São Paulo,Física
153,1,14581.898,Agência Matriz,São Paulo,Física
153,1,14581.898,Agência Matriz,São Paulo,Física
176,1,14244.927,Agência Matriz,São Paulo,Física
176,1,14244.927,Agência Matriz,São Paulo,Física
199,1,92338.31,Agência Matriz,São Paulo,Física
199,1,92338.31,Agência Matriz,São Paulo,Física
207,1,13029.245,Agência Matriz,São Paulo,Física
207,1,13029.245,Agência Matriz,São Paulo,Física
275,1,51431.95,Agência Matriz,São Paulo,Física
275,1,51431.95,Agência Matriz,São Paulo,Física
361,1,16828.828,Agência Matriz,São Paulo,Física
361,1,16828.828,Agência Matriz,São Paulo,Física
701,1,53.4997,Agência Matriz,São Paulo,Física
701,1,53.4997,Agência Matriz,São Paulo,Física
808,1,33978.83,Agência Matriz,São Paulo,Física
808,1,33978.83,Agência Matriz,São Paulo,Física
910,1,38140.18,Agência Matriz,São Paulo,Física
910,1,38140.18,Agência Matriz,São Paulo,Física
290,1,10809.29,Agência Matriz,São Paulo,Física
290,1,10809.29,Agência Matriz,São Paulo,Física
451,1,14880.7295,Agência Matriz,São Paulo,Física
451,1,14880.7295,Agência Matriz,São Paulo,Física
557,1,2841.344,Agência Matriz,São Paulo,Física
557,1,2841.344,Agência Matriz,São Paulo,Física
617,1,28163.42,Agência Matriz,São Paulo,Física
617,1,28163.42,Agência Matriz,São Paulo,Física
632,1,15022.801,Agência Matriz,São Paulo,Física
632,1,15022.801,Agência Matriz,São Paulo,Física
740,1,788.5976,Agência Matriz,São Paulo,Física
740,1,788.5976,Agência Matriz,São Paulo,Física
134,1,19285.3,Agência Matriz,São Paulo,Física
134,1,19285.3,Agência Matriz,São Paulo,Física
410,1,2612.7908,Agência Matriz,São Paulo,Física
410,1,2612.7908,Agência Matriz,São Paulo,Física
429,1,7184.0234,Agência Matriz,São Paulo,Física
429,1,7184.0234,Agência Matriz,São Paulo,Física
496,1,18.425,Agência Matriz,São Paulo,Física
496,1,18.425,Agência Matriz,São Paulo,Física
631,1,21223.45,Agência Matriz,São Paulo,Física
631,1,21223.45,Agência Matriz,São Paulo,Física
878,1,32869.203,Agência Matriz,São Paulo,Física
878,1,32869.203,Agência Matriz,São Paulo,Física
6,1,14236.267,Agência Matriz,São Paulo,Física
6,1,14236.267,Agência Matriz,São Paulo,Física
620,1,29814.947,Agência Matriz,São Paulo,Física
620,1,29814.947,Agência Matriz,São Paulo,Física
714,1,48216.74,Agência Matriz,São Paulo,Física
714,1,48216.74,Agência Matriz,São Paulo,Física
877,1,125716.28,Agência Matriz,São Paulo,Física
877,1,125716.28,Agência Matriz,São Paulo,Física
286,1,3985.9045,Agência Matriz,São Paulo,Física
286,1,3985.9045,Agência Matriz,São Paulo,Física
559,1,31372.236,Agência Matriz,São Paulo,Física
559,1,31372.236,Agência Matriz,São Paulo,Física
911,1,3545.664,Agência Matriz,São Paulo,Física
911,1,3545.664,Agência Matriz,São Paulo,Física
40,1,461.351,Agência Matriz,São Paulo,Física
40,1,461.351,Agência Matriz,São Paulo,Física
90,1,109727.88,Agência Matriz,São Paulo,Física
90,1,109727.88,Agência Matriz,São Paulo,Física
93,1,354.4128,Agência Matriz,São Paulo,Física
93,1,354.4128,Agência Matriz,São Paulo,Física
147,1,42405.95,Agência Matriz,São Paulo,Física
147,1,42405.95,Agência Matriz,São Paulo,Física
486,1,197.3625,Agência Matriz,São Paulo,Física
486,1,197.3625,Agência Matriz,São Paulo,Física
501,1,232815.8,Agência Matriz,São Paulo,Física
501,1,232815.8,Agência Matriz,São Paulo,Física
670,1,42711.76,Agência Matriz,São Paulo,Física
670,1,42711.76,Agência Matriz,São Paulo,Física
735,1,72474.234,Agência Matriz,São Paulo,Física
735,1,72474.234,Agência Matriz,São Paulo,Física
805,1,4438.541,Agência Matriz,São Paulo,Física
805,1,4438.541,Agência Matriz,São Paulo,Física
19,1,2615.316,Agência Matriz,São Paulo,Física
19,1,2615.316,Agência Matriz,São Paulo,Física
106,1,68269.51,Agência Matriz,São Paulo,Física
106,1,68269.51,Agência Matriz,São Paulo,Física
146,1,10975.191,Agência Matriz,São Paulo,Física
146,1,10975.191,Agência Matriz,São Paulo,Física
154,1,81928.25,Agência Matriz,São Paulo,Física
154,1,81928.25,Agência Matriz,São Paulo,Física
198,1,7893.0176,Agência Matriz,São Paulo,Física
198,1,7893.0176,Agência Matriz,São Paulo,Física
200,1,3503.06,Agência Matriz,São Paulo,Física
200,1,3503.06,Agência Matriz,São Paulo,Física
260,1,23435.395,Agência Matriz,São Paulo,Física
260,1,23435.395,Agência Matriz,São Paulo,Física
347,1,83141.234,Agência Matriz,São Paulo,Física
347,1,83141.234,Agência Matriz,São Paulo,Física
357,1,71.3889,Agência Matriz,São Paulo,Física
357,1,71.3889,Agência Matriz,São Paulo,Física
497,1,44788.254,Agência Matriz,São Paulo,Física
497,1,44788.254,Agência Matriz,São Paulo,Física
598,1,6940.7314,Agência Matriz,São Paulo,Física
598,1,6940.7314,Agência Matriz,São Paulo,Física
715,1,27057.146,Agência Matriz,São Paulo,Física
715,1,27057.146,Agência Matriz,São Paulo,Física
925,1,7854.3037,Agência Matriz,São Paulo,Física
925,1,7854.3037,Agência Matriz,São Paulo,Física
